game_id,win_char1,win_weapon1,win_lv1,win_leg1,win_tran1,win_char2,win_weapon2,win_lv2,win_leg2,win_tran2,win_char3,win_weapon3,win_lv3,win_leg3,win_tran3,lose_char1,lose_weapon1,lose_lv1,lose_leg1,lose_tran1,lose_char2,lose_weapon2,lose_lv2,lose_leg2,lose_tran2,lose_char3,lose_weapon3,lose_lv3,lose_leg3,lose_tran3
64699608,67,14,20,4,1,2,10,20,3,2,81,9,19,3,2,72,11,20,4,1,55,14,19,5,0,2,9,19,3,2
64698487,28,3,15,3,0,83,6,15,3,0,25,11,15,3,0,70,6,15,3,0,34,23,15,4,0,25,11,15,3,0
64616071,74,3,19,5,0,22,3,20,5,0,32,5,20,3,2,13,19,19,5,0,64,24,20,4,1,31,7,19,3,2
64615070,1,15,20,4,1,82,21,20,2,3,25,11,20,5,0,50,21,19,3,0,21,9,20,4,1,22,3,20,4,1
64614176,1,14,19,5,0,90,11,19,3,2,10,1,18,4,1,77,24,20,4,1,28,13,19,4,0,49,19,19,3,1
64611922,25,11,20,3,2,74,3,19,4,1,90,11,20,4,1,42,24,18,4,1,76,3,19,3,2,62,11,19,3,2
64611102,21,9,18,4,1,75,22,18,3,1,7,1,18,4,1,80,19,18,3,1,65,16,18,4,0,81,9,18,4,0
64609605,4,13,20,5,0,1,15,20,5,0,79,8,20,4,1,89,9,20,5,0,11,16,18,2,1,54,8,19,4,1
64599373,15,6,19,4,1,13,19,19,4,0,58,10,20,4,1,65,16,19,4,0,89,9,18,3,0,82,21,19,4,0
64598931,43,5,20,5,0,71,14,20,5,0,89,9,20,4,1,45,4,18,2,0,67,14,18,3,0,31,7,20,4,1
64728221,70,6,20,3,2,18,15,20,4,1,53,14,19,4,1,89,9,20,5,0,15,6,20,4,1,1,15,20,4,1
64727331,35,2,19,4,1,18,15,20,5,0,65,16,20,3,2,77,24,19,5,0,51,22,19,3,0,33,1,19,3,1
64726204,33,1,19,4,1,70,6,20,3,2,7,1,20,4,1,62,11,20,4,1,3,19,20,3,2,86,1,19,3,1
64724983,72,11,19,4,1,71,14,19,5,0,18,15,19,4,1,54,8,19,4,1,42,24,18,4,1,3,21,19,4,1
64723574,62,11,19,4,1,30,13,19,4,1,6,8,20,4,1,20,4,19,4,0,21,9,20,5,0,26,9,19,4,0
